model,checkpoint,dirty_generator_checkpoint,dirty_drop_ratio,actual_drop_ratio_mean,object_insertion,num_evaluated,recall_at_1,recall_at_5,recall_at_10,one_percent_recall,top1_similarity_mean,json_path
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.1,0.10009765625,True,23,0.7391304347826086,0.782608695652174,0.9130434782608695,0.782608695652174,0.8274955433957717,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_adv_p10.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.1,0.10009765625,True,23,0.5652173913043478,0.8695652173913043,0.9565217391304348,0.6956521739130435,0.7920663081682645,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_baseline_p10.json
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.2,0.199951171875,True,23,0.7391304347826086,0.782608695652174,0.9130434782608695,0.782608695652174,0.8283661814296946,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_adv_p20.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.2,0.199951171875,True,23,0.4782608695652174,0.7391304347826086,0.9130434782608695,0.5652173913043478,0.7151983109387484,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_baseline_p20.json
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.3,0.300048828125,True,23,0.6956521739130435,0.8260869565217391,0.9130434782608695,0.782608695652174,0.840607549995184,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_adv_p30.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.3,0.300048828125,True,23,0.21739130434782608,0.6086956521739131,0.782608695652174,0.34782608695652173,0.6901144742965698,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_baseline_p30.json
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.4,0.39990234375,True,23,0.6956521739130435,0.8260869565217391,0.9130434782608695,0.782608695652174,0.835627019405365,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_adv_p40.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.4,0.39990234375,True,23,0.17391304347826086,0.43478260869565216,0.6956521739130435,0.2608695652173913,0.6708420068025589,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_baseline_p40.json
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.5,0.5,True,23,0.7391304347826086,0.8260869565217391,0.9130434782608695,0.782608695652174,0.8228202602442574,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_adv_p50.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260314_162346_epoch_020.pt,0.5,0.5,True,23,0.17391304347826086,0.34782608695652173,0.4782608695652174,0.21739130434782608,0.6026546657085419,/media/autolab/tsy/dynamic/dirtyquery_sweeps/kitti00_dirtyquery_baseline_p50.json
