model,checkpoint,dirty_generator_checkpoint,dirty_drop_ratio,dirty_point_weight,dirty_geom_weight,actual_drop_ratio_mean,object_insertion,num_evaluated,recall_at_1,recall_at_5,recall_at_10,one_percent_recall,top1_similarity_mean,json_path
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.1,0.0,2.0,0.10009765625,True,23,0.782608695652174,0.9130434782608695,0.9565217391304348,0.8695652173913043,0.8970390988720788,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_adv_p10.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.1,0.0,2.0,0.10009765625,True,23,0.391304347826087,0.8695652173913043,0.9130434782608695,0.7391304347826086,0.7769127488136292,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_baseline_p10.json
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.2,0.0,2.0,0.199951171875,True,23,0.8260869565217391,0.9565217391304348,0.9565217391304348,0.8695652173913043,0.9052783376292178,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_adv_p20.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.2,0.0,2.0,0.199951171875,True,23,0.0,0.30434782608695654,0.30434782608695654,0.043478260869565216,,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_baseline_p20.json
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.3,0.0,2.0,0.300048828125,True,23,0.7391304347826086,0.9130434782608695,0.9565217391304348,0.8695652173913043,0.8986289501190186,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_adv_p30.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.3,0.0,2.0,0.300048828125,True,23,0.0,0.08695652173913043,0.17391304347826086,0.043478260869565216,,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_baseline_p30.json
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.4,0.0,2.0,0.39990234375,True,23,0.782608695652174,0.8695652173913043,0.9565217391304348,0.8695652173913043,0.8993913332621256,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_adv_p40.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.4,0.0,2.0,0.39990234375,True,23,0.0,0.043478260869565216,0.17391304347826086,0.043478260869565216,,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_baseline_p40.json
adv,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.5,0.0,2.0,0.5,True,23,0.782608695652174,0.9130434782608695,0.9565217391304348,0.8695652173913043,0.8695929083559248,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_adv_p50.json
baseline,/media/autolab/tsy/dynamic/checkpoints_pnv/pnv_baseline_20260314_162345_epoch_020.pt,/media/autolab/tsy/dynamic/checkpoints_adv/pnv_adv_20260323_220859_epoch_020.pt,0.5,0.0,2.0,0.5,True,23,0.0,0.08695652173913043,0.17391304347826086,0.043478260869565216,,/media/autolab/tsy/dynamic/dirtyquery_sweeps_324/kitti00_dirtyquery_baseline_p50.json
